,AUTORIDAD_LABORAL,SECTOR,NUM_EXPEDIENTES,NUM_TRABAJADORES_AFECTADOS,HOMBRES,MUJERES,PERS_GENERO_SIN_DETERMINAR
0,CONCURSAL,SERVICIOS,1,123,0,0,123
1,D.G.,AGRICULTURA,2,45,31,14,0
2,D.G.,CONSTRUCIÓN,33,1378,1141,237,0
3,D.G.,INDUSTRIA,334,114426,74336,17724,22366
4,D.G.,SERVICIOS,899,44559,21787,20190,2582
5,DT VALENCIA,AGRICULTURA,58,271,211,60,0
6,DT VALENCIA,CONSTRUCIÓN,1899,9401,7884,1432,85
7,DT VALENCIA,INDUSTRIA,3226,40291,27823,10905,1563
8,DT VALENCIA,SERVICIOS,30262,142717,66196,73730,2791
9,S.T. ALICANTE,AGRICULTURA,157,661,563,96,2
10,S.T. ALICANTE,CONSTRUCIÓN,1507,6383,5132,1246,5
11,S.T. ALICANTE,INDUSTRIA,2514,30997,21902,8336,759
12,S.T. ALICANTE,SERVICIOS,27478,124275,59739,63458,1078
13,S.T. CASTELLON,AGRICULTURA,127,518,462,56,0
14,S.T. CASTELLON,CONSTRUCIÓN,489,2458,2107,351,0
15,S.T. CASTELLON,INDUSTRIA,923,19701,14029,4606,1066
16,S.T. CASTELLON,SERVICIOS,8710,35942,15403,20085,454
